name,county,town,official_address
Afya Bora Clinic (Meru South),Tharaka Nithi,Chuka,P.O Box 526
Afya Clinic,Taita Taveta,Wundanyi,P.O Box 1224
Baragu Health Centre,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Baraka Dental Clinic (Maara),Tharaka Nithi,Chogoria,P.O Box 419
Songeto Dispensary,Elgeyo Marakwet,Iten,
St Lucy's Hospital,Tharaka Nithi,Chuka,P.O Box 125
Tharaka District Hospital,Tharaka Nithi,Marimanti,P.O Box  5
Tharaka Nithi County Beyond Zero Mobile Clinic,Tharaka Nithi,,
Tunyai Dispensary,Tharaka Nithi,Tunyai -Marimanti,P.O Box 5 Marimanti
Tunyo Dispensary,Elgeyo Marakwet,,
Turesia Dispensary,Elgeyo Marakwet,,
Voi Dental,Taita Taveta,Voi,
Voi Medical Centre,Taita Taveta,Voi,
Voi Medical Clinix,Taita Taveta,Voi,
Voi Roadside Clinic,Taita Taveta,Voi,P.O Box 450
Chebiemit District Hospital,Elgeyo Marakwet,Chebiemit,Please specify P.O. Box 3
Chebororwa Health Centre,Elgeyo Marakwet,,
Chebulbai Dispensary,Elgeyo Marakwet,,
Chechan Dispensary,Elgeyo Marakwet,,
Cheera Dispensary,Tharaka Nithi,Chuka,P.O Box 736
Chegilet Dispensary,Elgeyo Marakwet,,
Chesubet Dispensary,Elgeyo Marakwet,Kapcherop,P.O Box  1
Chiakariga Health Centre,Tharaka Nithi,Chiakariga,P.O Box 5 Marimanti
Chogoria (PCEA) Hospital,Tharaka Nithi,Chogoria,P.O Box P.O. Box 35
Ikumbo Dispensary,Tharaka Nithi,Magutni Chogoria,P.O Box P.O. Box 10
Ikuu CFW Clinic,Tharaka Nithi,Ikuu,
Ikuu Dispensary,Tharaka Nithi,Chuka,P.O Box 19
Iten District Hospital,Elgeyo Marakwet,Iten,Please specify P.O. Box 332
Kamacabi Dispensary,Tharaka Nithi,Gatunga,P.O Box 5 Marimanti
Kamaguna Dispensary,Tharaka Nithi,KATHANGACINI,P.O Box 5 Marimanti
Kamaindi Dispensary,Tharaka Nithi,Chuka,P.O Box 105
Kamanyaki Dispensary,Tharaka Nithi,Chiakariga,P.O Box 81
Kanyuru Dispensary,Tharaka Nithi,Marimanti,P.O Box  5
Kaparon Health Centre,Elgeyo Marakwet,,
Kapchebar Dispensary,Elgeyo Marakwet,Iten,P.O Box 332 Iten
